Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,Educational Option Type,"NSLP Provision Status","Charter School",Charter Number,Charter Funding Type,IRC,Low Grade,High Grade,total_enrolled,frpm,foster,homeless,migrant,direct_cert,unduplicated_frpm,english_learner,"CALPADS Unduplicated Pupil Count (UPC)","CALPADS Fall 1 Certification Status (Y/N)",
2017-2018,07,61804,0000001,Contra Costa,San Ramon Valley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,33,5,1,0,0,2,5,1,5,Y,
2017-2018,07,61804,6005094,Contra Costa,San Ramon Valley Unified,Green Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,523,6,0,0,0,7,7,15,19,Y,
2017-2018,07,77024,0134072,Contra Costa,SBE - Rocketship Futuro Academy,Rocketship Futuro Academy,State Board of Education,Elemen Schools In 1 School Dist. (Public),Traditional,,Yes,1805,Directly funded,N,K,5,271,230,0,6,0,117,231,170,249,Y,
2017-2018,01,75101,0130096,Alameda,Pleasanton Unified,Foothill High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,"2,176",189,0,0,0,101,193,75,232,Y,
2017-2018,01,75101,0130583,Alameda,Pleasanton Unified,Amador Valley High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,"2,673",168,1,4,0,92,177,111,246,Y,
2017-2018,03,10033,0129692,Amador,Amador County Office of Education,Shenandoah Valley,County Office of Education (COE),Intermediate/Middle Schools (Public),Traditional,,Yes,1662,Locally funded,N,6,8,47,0,0,0,0,14,14,0,14,Y,
2017-2018,03,73981,0330753,Amador,Amador County Unified,Amador High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,724,283,5,6,0,193,298,1,298,Y,
2017-2018,04,61424,6109722,Butte,Chico Unified,Little Chico Creek Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,469,291,8,2,0,230,302,48,309,Y,
2017-2018,04,61440,0121509,Butte,Feather Falls Union Elementary,Ipakanni Early College Charter,Elementary School District,K-12 Schools (Public),Traditional,,Yes,1170,Directly funded,Y,K,12,66,50,1,0,0,41,55,1,55,Y,
2017-2018,04,61531,6003313,Butte,Paradise Unified,Paradise Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,558,335,5,27,0,286,368,17,370,Y,
2017-2018,04,73379,6002927,Butte,Pioneer Union Elementary,Berry Creek Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,,No ,,,N,K,8,67,60,0,0,0,56,63,0,63,Y,
2017-2018,05,10058,9010745,Calaveras,Calaveras County Office of Education,Oakendell Community,County Office of Education (COE),County Community,County Community School,,No ,,,N,6,12,15,0,12,0,0,1,13,3,13,Y,
2017-2018,05,61556,0000001,Calaveras,Bret Harte Union High,"Nonpublic, Nonsectarian Schools",High School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,3,0,0,0,0,1,1,0,1,Y,
2017-2018,07,10074,0730614,Contra Costa,Contra Costa County Office of Education,Golden Gate Community Charter,County Office of Education (COE),County Community,County Community School,,Yes,1887,Directly funded,Y,7,12,84,40,1,0,0,43,61,16,66,Y,
2017-2018,07,61630,0731125,Contra Costa,Acalanes Union High,Campolindo High,High School District,High Schools (Public),Traditional,,No ,,,N,9,12,"1,376",53,1,1,0,46,54,13,63,Y,
2017-2018,01,75101,6002315,Alameda,Pleasanton Unified,Alisal Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,622,50,1,1,0,30,52,109,143,Y,
2017-2018,03,73981,6002828,Amador,Amador County Unified,Jackson Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,392,209,2,11,0,165,216,18,220,Y,
2017-2018,04,61424,6002976,Butte,Chico Unified,Citrus Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,295,249,9,14,0,203,257,34,257,Y,
2017-2018,04,61457,6003131,Butte,Golden Feather Union Elementary,Concow Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,8,69,1,2,0,0,37,39,1,40,Y,
2017-2018,04,61531,6003321,Butte,Paradise Unified,Paradise Intermediate,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,430,273,11,13,0,218,297,7,299,Y,
2017-2018,04,61531,6105522,Butte,Paradise Unified,Pine Ridge,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,8,472,341,4,39,0,293,383,2,383,Y,
2017-2018,04,61549,6121016,Butte,Thermalito Union Elementary,Heritage Community Day,Elementary School District,District Community Day Schools,Community Day School,CEP,No ,,,N,4,8,9,9,0,0,0,6,9,1,9,Y,
2017-2018,04,75507,6003172,Butte,Gridley Unified,Wilson Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,2,5,601,466,10,0,27,337,470,159,477,Y,
2017-2018,05,10058,6077150,Calaveras,Calaveras County Office of Education,Calaveras County Special Education (SELPA),County Office of Education (COE),Special Education Schools (Public),Special Education School,,No ,,,N,P,Adult,15,1,0,0,0,1,1,0,1,Y,
2017-2018,05,61556,0532507,Calaveras,Bret Harte Union High,Bret Harte Union High,High School District,High Schools (Public),Traditional,,No ,,,N,9,12,646,235,4,1,0,167,264,16,266,Y,
2017-2018,05,61564,6003404,Calaveras,Calaveras Unified,Mokelumne Hill Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,,,N,K,6,84,43,0,3,0,31,43,1,43,Y,
2017-2018,06,61598,6057152,Colusa,Colusa Unified,George T. Egling Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,4,8,563,401,1,2,22,258,409,205,429,Y,
2017-2018,06,61606,0634758,Colusa,Maxwell Unified,Maxwell Sr High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,101,67,1,1,5,8,68,29,74,Y,
2017-2018,07,61648,6003636,Contra Costa,Antioch Unified,Turner Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,526,403,3,19,0,266,436,211,460,Y,
2017-2018,07,61655,6112718,Contra Costa,Brentwood Union Elementary,William B. Bristow Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,"1,165",252,3,1,0,165,276,59,297,Y,
2017-2018,07,61663,6101943,Contra Costa,Byron Union Elementary,Discovery Bay Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,469,190,0,0,0,131,192,50,200,Y,
2017-2018,07,61697,0737619,Contra Costa,John Swett Unified,Willow High,Unified School District,Continuation High Schools,Continuation School,,No ,,,N,K,12,33,14,0,3,0,10,17,6,20,Y,
2017-2018,07,61713,6003792,Contra Costa,Lafayette Elementary,Springhill Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,469,10,0,0,0,12,12,14,23,Y,
2017-2018,07,61721,0730572,Contra Costa,Liberty Union High,Independence High,High School District,Alternative Schools of Choice,Alternative School of Choice,,No ,,,N,9,12,252,71,0,1,0,70,71,15,79,Y,
2017-2018,07,61739,6003826,Contra Costa,Martinez Unified,John Muir Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,433,150,5,13,0,115,171,41,182,Y,
2017-2018,07,61754,0730416,Contra Costa,Mt. Diablo Unified,Crossroads High (Alternative),Unified School District,Continuation High Schools,Continuation School,,No ,,,N,9,12,33,24,2,3,0,19,27,17,29,Y,
2017-2018,07,61754,6004097,Contra Costa,Mt. Diablo Unified,Hidden Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,842,271,2,6,0,194,292,123,325,Y,
2017-2018,07,61796,0000001,Contra Costa,West Contra Costa Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,92,20,6,4,0,15,27,22,44,Y,
2017-2018,07,61796,0732164,Contra Costa,West Contra Costa Unified,De Anza High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,"1,382",963,10,41,0,404,971,264,"1,023",Y,
2017-2018,07,61796,6004733,Contra Costa,West Contra Costa Unified,Ellerhorst Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,367,156,0,6,0,77,156,64,179,Y,
2017-2018,07,61796,6004881,Contra Costa,West Contra Costa Unified,Nystrom Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,,,N,K,6,512,462,5,25,0,261,463,324,487,Y,
2017-2018,06,61622,0630038,Colusa,Williams Unified,Mid Valley High (Continuation),Unified School District,Continuation High Schools,Continuation School,,No ,,,N,10,12,18,15,0,2,2,6,15,5,15,Y,
2017-2018,07,10074,0120444,Contra Costa,Contra Costa County Office of Education,Mt. McKinley,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,,No ,,,N,7,12,135,135,6,0,0,62,135,19,135,Y,
2017-2018,07,61648,0117218,Contra Costa,Antioch Unified,Dozier-Libbey Medical High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,No ,,,N,9,12,706,356,1,1,0,188,369,49,383,Y,
2017-2018,07,61655,0127464,Contra Costa,Brentwood Union Elementary,Mary Casey Black Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,668,286,2,4,0,172,304,134,326,Y,
2017-2018,07,61739,0730549,Contra Costa,Martinez Unified,Alhambra Senior High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,"1,185",251,3,11,0,198,275,59,298,Y,
2017-2018,07,61747,6003933,Contra Costa,Moraga Elementary,Los Perales Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,405,2,0,0,0,9,11,13,24,Y,
2017-2018,07,61754,6004105,Contra Costa,Mt. Diablo Unified,Highlands Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,583,100,0,1,0,72,110,48,141,Y,
2017-2018,07,61754,6004410,Contra Costa,Mt. Diablo Unified,Ygnacio Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,421,344,0,2,0,188,349,235,371,Y,
2017-2018,07,61762,0129064,Contra Costa,Oakley Union Elementary,Almond Grove Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,493,116,5,1,0,72,121,27,135,Y,
2017-2018,07,61788,6004535,Contra Costa,Pittsburg Unified,Highlands Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,498,376,3,4,0,251,392,182,417,Y,
2017-2018,07,61796,0101477,Contra Costa,West Contra Costa Unified,Leadership Public Schools: Richmond,Unified School District,High Schools (Public),Traditional,,Yes,0557,Directly funded,Y,9,12,577,511,0,0,0,214,511,120,523,Y,
2017-2018,07,61796,6114086,Contra Costa,West Contra Costa Unified,Harbour Way Elementary Community Day,Unified School District,District Community Day Schools,Community Day School,,No ,,,N,K,8,3,3,0,0,0,3,3,2,3,Y,
2017-2018,07,61804,0113589,Contra Costa,San Ramon Valley Unified,Live Oak Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,885,44,1,0,0,23,46,94,135,Y,
2017-2018,07,61804,0132902,Contra Costa,San Ramon Valley Unified,Bella Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,535,64,0,0,0,48,69,65,117,Y,
2017-2018,08,10082,0114116,Del Norte,Del Norte County Office of Education,Uncharted Shores Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,,Yes,0859,Directly funded,N,K,8,193,34,2,2,0,87,89,5,91,Y,
2017-2018,08,61820,0833004,Del Norte,Del Norte County Unified,Del Norte High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,915,480,9,12,0,343,506,50,518,Y,
2017-2018,09,61887,6005516,El Dorado,Gold Trail Union Elementary,Gold Trail,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,4,8,420,126,0,9,0,90,126,16,131,Y,
2017-2018,09,61903,0110155,El Dorado,Lake Tahoe Unified,Lake Tahoe Environmental Science Magnet,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,396,121,0,4,0,79,132,19,136,Y,
2017-2018,09,61911,0000001,El Dorado,Latrobe,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,1,0,0,0,0,0,0,0,0,Y,
2017-2018,09,61978,0000001,El Dorado,Rescue Union Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,3,0,0,0,0,1,1,0,1,Y,
2017-2018,10,62117,0106419,Fresno,Clovis Unified,James S. Fugman Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,839,42,0,0,0,62,95,27,115,Y,
2017-2018,10,62117,0110270,Fresno,Clovis Unified,Clovis Community Day Secondary,Unified School District,District Community Day Schools,Community Day School,,No ,,,N,7,12,61,14,8,0,0,26,42,4,42,Y,
2017-2018,10,62117,0113548,Fresno,Clovis Unified,Granite Ridge Intermediate,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,7,8,"1,361",187,1,2,0,201,325,37,339,Y,
2017-2018,10,62117,0113555,Fresno,Clovis Unified,Clovis North High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,"2,498",314,0,3,0,342,566,44,581,Y,
2017-2018,10,62117,6005920,Fresno,Clovis Unified,Temperance-Kutner Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,718,299,10,1,0,349,540,175,555,Y,
2017-2018,07,61796,0110973,Contra Costa,West Contra Costa Unified,Richmond College Preparatory,Unified School District,Elementary Schools (Public),Traditional,,Yes,0755,Directly funded,Y,K,8,503,378,1,0,0,186,394,238,441,Y,
2017-2018,07,61796,0732941,Contra Costa,West Contra Costa Unified,El Cerrito High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,"1,482",646,7,33,0,353,654,196,695,Y,
2017-2018,07,61796,6004758,Contra Costa,West Contra Costa Unified,Fairmont Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,540,332,2,9,0,176,333,218,374,Y,
2017-2018,07,61796,6004873,Contra Costa,West Contra Costa Unified,Murphy Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,492,345,6,9,0,184,348,138,365,Y,
2017-2018,07,61796,6057236,Contra Costa,West Contra Costa Unified,Pinole Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,7,8,505,340,2,13,0,148,343,115,367,Y,
2017-2018,07,61796,6061170,Contra Costa,West Contra Costa Unified,Crespi Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,7,8,475,388,3,26,0,168,389,89,398,Y,
2017-2018,07,61796,6114094,Contra Costa,West Contra Costa Unified,Cesar E. Chavez Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,,,N,K,6,522,489,2,13,0,225,489,336,510,Y,
2017-2018,07,61804,6071039,Contra Costa,San Ramon Valley Unified,Walt Disney Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,529,24,0,0,0,18,27,47,69,Y,
2017-2018,07,61804,6108161,Contra Costa,San Ramon Valley Unified,Golden View Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,640,34,1,0,0,27,35,80,108,Y,
2017-2018,07,61804,6117451,Contra Costa,San Ramon Valley Unified,Diablo Vista Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,"1,023",43,0,0,0,38,47,21,65,Y,
2017-2018,08,61820,0836205,Del Norte,Del Norte County Unified,Sunset High,Unified School District,Continuation High Schools,Continuation School,,No ,,,N,9,12,68,38,1,4,0,33,43,2,44,Y,
2017-2018,08,61820,6005417,Del Norte,Del Norte County Unified,Margaret Keating Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,,,N,K,6,92,51,0,2,0,56,58,0,58,Y,
2017-2018,07,61796,6004931,Contra Costa,West Contra Costa Unified,Riverside Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,,,N,K,6,392,349,6,13,0,166,350,159,357,Y,
2017-2018,07,61796,6005045,Contra Costa,West Contra Costa Unified,Wilson Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,,,N,K,6,429,380,2,7,0,183,381,214,395,Y,
2017-2018,07,61796,6118368,Contra Costa,West Contra Costa Unified,Manzanita Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Yes,0333,Directly funded,Y,6,8,121,100,0,0,0,60,103,42,105,Y,
2017-2018,07,61804,0109173,Contra Costa,San Ramon Valley Unified,Quail Run Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,984,68,0,1,0,54,73,175,217,Y,
2017-2018,07,61804,6100952,Contra Costa,San Ramon Valley Unified,Bollinger Canyon Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,545,34,0,2,0,26,37,55,80,Y,
2017-2018,09,10090,0123521,El Dorado,El Dorado County Office of Education,Charter Alternative Program (CAP),County Office of Education (COE),County Community,County Community School,,Yes,0360,Locally funded,N,K,8,178,57,1,7,0,48,60,5,60,Y,
2017-2018,09,10090,0930016,El Dorado,El Dorado County Office of Education,Golden Ridge,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,,No ,,,N,K,12,17,0,3,0,0,10,12,0,17,Y,
2017-2018,09,61838,0129965,El Dorado,Buckeye Union Elementary,Rising Sun Montessori,Elementary School District,Elementary Schools (Public),Traditional,,Yes,1655,Directly funded,Y,K,8,108,6,1,0,0,27,28,0,28,Y,
2017-2018,09,61846,0123125,El Dorado,Camino Union Elementary,Camino Polytechnic,Elementary School District,Elementary Schools (Public),Traditional,,Yes,1150,Directly funded,N,K,8,74,11,0,0,0,13,18,0,18,Y,
2017-2018,09,61853,0934554,El Dorado,El Dorado Union High,Independence Continuation,High School District,Continuation High Schools,Continuation School,,No ,,,N,9,12,109,79,4,18,0,56,79,0,79,Y,
2017-2018,09,61879,6109698,El Dorado,Gold Oak Union Elementary,Pleasant Valley Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,158,69,1,0,0,50,70,1,70,Y,
2017-2018,09,61929,6005615,El Dorado,Mother Lode Union Elementary,Herbert C. Green Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,5,8,478,266,8,18,0,175,271,60,279,Y,
2017-2018,09,73783,6005490,El Dorado,Black Oak Mine Unified,Georgetown Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,218,135,5,10,0,85,137,4,137,Y,
2017-2018,10,62117,0101949,Fresno,Clovis Unified,Clovis Community Day Elementary,Unified School District,District Community Day Schools,Community Day School,,No ,,,N,4,6,9,1,0,0,0,6,7,0,7,Y,
2017-2018,10,62117,0113563,Fresno,Clovis Unified,Bud Rank Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,851,55,3,0,0,73,110,37,131,Y,
2017-2018,10,62117,1030501,Fresno,Clovis Unified,Buchanan High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,"2,700",440,8,2,1,468,789,46,804,Y,
2017-2018,10,62117,6005862,Fresno,Clovis Unified,Fort Washington Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,643,142,0,0,0,131,241,37,257,Y,
2017-2018,10,62117,6005912,Fresno,Clovis Unified,Tarpey Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,728,308,3,2,3,447,597,149,615,Y,
2017-2018,10,62117,6109235,Fresno,Clovis Unified,Pinedale Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,574,266,5,2,1,375,500,126,516,Y,
2017-2018,10,62158,0126250,Fresno,Fowler Unified,Fowler Academy Community Day,Unified School District,District Community Day Schools,Community Day School,,No ,,,N,K,8,7,4,0,0,0,6,7,1,7,Y,
2017-2018,10,62158,6006027,Fresno,Fowler Unified,Fremont Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,3,5,472,346,5,11,6,220,360,124,365,Y,
2017-2018,10,62166,0113811,Fresno,Fresno Unified,Deborah A. Williams Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,,,N,K,6,639,613,1,25,6,493,625,136,628,Y,
2017-2018,10,62166,0121533,Fresno,Fresno Unified,Morris E. Dailey Charter Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,Yes,1172,Locally funded,N,K,5,398,140,0,0,2,91,152,21,158,Y,
2017-2018,10,62166,6006100,Fresno,Fresno Unified,Bullard Talent Project,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,,,N,K,8,758,456,1,2,0,273,471,25,472,Y,
2017-2018,10,62166,6006316,Fresno,Fresno Unified,Jefferson Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,,,N,K,6,474,461,3,18,9,338,463,174,464,Y,
2017-2018,07,61648,6117501,Contra Costa,Antioch Unified,Diablo Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,482,272,4,6,0,188,293,76,314,Y,
2017-2018,07,61713,6003743,Contra Costa,Lafayette Elementary,Happy Valley Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,549,13,0,0,0,10,13,14,24,Y,
2017-2018,07,61739,0730473,Contra Costa,Martinez Unified,Briones (Alternative),Unified School District,Alternative Schools of Choice,Alternative School of Choice,,No ,,,N,K,12,52,16,0,0,0,18,19,3,19,Y,
2017-2018,07,61754,0730424,Contra Costa,Mt. Diablo Unified,Summit High (Continuation),Unified School District,Continuation High Schools,Continuation School,,No ,,,N,9,12,111,50,0,2,0,37,55,34,69,Y,
2017-2018,07,61754,0734566,Contra Costa,Mt. Diablo Unified,Mt. Diablo High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,"1,392","1,044",4,29,0,583,"1,058",466,"1,134",Y,
2017-2018,07,61754,6004055,Contra Costa,Mt. Diablo Unified,Fair Oaks Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,341,264,0,1,0,177,279,168,295,Y,
2017-2018,07,61754,6004154,Contra Costa,Mt. Diablo Unified,Meadow Homes Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,836,754,3,5,0,471,785,610,818,Y,
2017-2018,07,61788,6061162,Contra Costa,Pittsburg Unified,Hillview Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,962,688,6,5,0,375,709,224,743,Y,
2017-2018,07,61796,0132100,Contra Costa,West Contra Costa Unified,Aspire Richmond Ca. College Preparatory Academy,Unified School District,K-12 Schools (Public),Traditional,,Yes,1739,Directly funded,Y,6,12,520,330,0,0,0,203,358,95,373,Y,
2017-2018,07,61796,0133637,Contra Costa,West Contra Costa Unified,Summit Public School: Tamalpais,Unified School District,High Schools (Public),Traditional,,Yes,1774,Directly funded,Y,7,12,237,154,0,0,0,60,154,36,156,Y,
2017-2018,07,61796,6004741,Contra Costa,West Contra Costa Unified,Highland Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,,,N,K,6,478,429,1,15,0,173,430,204,437,Y,
2017-2018,07,61796,6004774,Contra Costa,West Contra Costa Unified,Grant Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,,,N,K,6,523,486,0,13,0,242,486,392,508,Y,
2017-2018,07,61630,0734244,Contra Costa,Acalanes Union High,Miramonte High,High School District,High Schools (Public),Traditional,,No ,,,N,9,12,"1,316",56,0,0,0,49,56,15,68,Y,
2017-2018,07,61648,0730861,Contra Costa,Antioch Unified,Antioch High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,"1,983","1,277",14,17,0,780,"1,348",341,"1,429",Y,
2017-2018,07,61655,0108019,Contra Costa,Brentwood Union Elementary,Marsh Creek Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,678,195,0,2,0,124,213,101,242,Y,
2017-2018,07,61655,6003651,Contra Costa,Brentwood Union Elementary,Edna Hill Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,"1,010",362,7,6,1,210,392,139,416,Y,
2017-2018,07,61663,0130930,Contra Costa,Byron Union Elementary,Vista Oaks Charter,Elementary School District,K-12 Schools (Public),Traditional,,Yes,1684,Directly funded,Y,K,12,739,292,2,26,0,181,307,32,310,Y,
2017-2018,07,61705,0133769,Contra Costa,Knightsen Elementary,Old River Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,201,44,0,0,0,28,46,26,54,Y,
2017-2018,07,61713,6003727,Contra Costa,Lafayette Elementary,Burton Valley Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,807,17,0,0,0,12,17,12,27,Y,
2017-2018,07,61713,6003768,Contra Costa,Lafayette Elementary,M. H. Stanley Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,"1,227",56,0,2,0,50,56,24,75,Y,
2017-2018,07,61754,0731646,Contra Costa,Mt. Diablo Unified,College Park High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,"2,022",432,1,6,0,263,451,99,492,Y,
2017-2018,07,61754,0734764,Contra Costa,Mt. Diablo Unified,Olympic Continuation High,Unified School District,Continuation High Schools,Continuation School,,No ,,,N,9,12,245,161,5,20,0,110,170,96,193,Y,
2017-2018,07,61754,6004196,Contra Costa,Mt. Diablo Unified,Oak Grove Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,773,704,1,9,0,369,707,361,723,Y,
2017-2018,07,61788,6004576,Contra Costa,Pittsburg Unified,Willow Cove Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,644,480,2,4,0,286,498,364,557,Y,
2017-2018,07,61788,6098578,Contra Costa,Pittsburg Unified,Foothill Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,576,388,3,1,0,194,395,208,427,Y,
2017-2018,07,61705,6003719,Contra Costa,Knightsen Elementary,Knightsen Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,8,396,160,0,0,1,75,164,81,171,Y,
2017-2018,07,61754,0730333,Contra Costa,Mt. Diablo Unified,Gateway High (Continuation),Unified School District,Continuation High Schools,Continuation School,,No ,,,N,9,12,34,29,0,1,0,22,30,14,33,Y,
2017-2018,07,61754,0737809,Contra Costa,Mt. Diablo Unified,Ygnacio Valley High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,"1,246",897,8,20,0,474,913,375,973,Y,
2017-2018,07,61754,6004188,Contra Costa,Mt. Diablo Unified,Mt. Diablo Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,808,57,0,0,0,52,64,36,86,Y,
2017-2018,07,61754,6004220,Contra Costa,Mt. Diablo Unified,Pine Hollow Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,593,230,6,3,0,140,235,56,247,Y,
2017-2018,07,61754,6004238,Contra Costa,Mt. Diablo Unified,Sunrise (Special Education),Unified School District,Special Education Schools (Public),Special Education School,,No ,,,N,K,5,32,15,2,0,0,7,16,6,18,Y,
2017-2018,07,61754,6004352,Contra Costa,Mt. Diablo Unified,Valley View Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,849,316,2,3,0,180,320,103,349,Y,
2017-2018,07,61754,6004378,Contra Costa,Mt. Diablo Unified,Westwood Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,307,123,2,6,0,85,138,62,154,Y,
